"","MCP_9MC203","MCP_9MC204","MCP_9MC205","MCP_9MC206","MCP_9MC207","MCP_9MC208","MCP_9MC209","MCP_9MC210","MCP_9MC211","MCP_9MC212","MCP_9MC213","MCP_9MC214","MCP_9MC215","MCP_11MC206","MCP_11MC207","MCP_11MC208","MCP_11MC209","MCP_11MC210","MCP_11MC211","MCP_11MC212","MCP_11MC213","MCP_11MC214","MCP_12MC206","MCP_12MC207","MCP_12MC208","MCP_12MC209","MCP_12MC210","MCP_12MC211","MCP_12MC212","MCP_12MC213","MCP_12MC214","MCP_14MC205","MCP_14MC206","MCP_14MC207","MCP_14MC208","MCP_14MC209","MCP_14MC210","MCP_14MC211","MCP_14MC212","MCP_14MC213","MCP_14MC214","MCP_15MC206","MCP_15MC207","MCP_15MC208","MCP_15MC209","MCP_15MC210","MCP_15MC211","MCP_15MC212","MCP_15MC213","MCP_15MC214","MCP_5MC206","MCP_5MC207","MCP_5MC208","MCP_5MC209","MCP_5MC210","MCP_5MC211","MCP_5MC212","MCP_5MC213","MCP_5MC214","MCP_5MC215"
"801efb14d6457f799fd2becee6d07b72",5,190,13,28,45,35,79,170,94,109,69,75,106,45,149,129,438,93,98,50,50,27,150,591,198,355,224,150,150,87,36,514,388,472,265,301,263,347,235,124,234,715,525,319,227,163,134,80,110,84,25,64,52,161,68,30,22,44,40,49
"bcba47620c299fd34809f143e3d26dff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0
"d6efd2da2728fd74ded268122ee05036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0
"9e26dc7c6642e4bf724f8d376d56a973",19,53,7,21,8,24,36,124,170,254,185,135,144,0,15,23,72,29,66,89,123,167,0,14,17,40,48,46,67,93,86,0,0,8,10,11,20,37,84,78,30,0,7,0,0,11,17,7,0,0,16,68,170,250,113,74,46,58,40,93
"b75e2ef0e905fa22619b60098e918ee3",0,18,0,0,0,0,12,50,67,135,136,118,104,0,0,14,31,19,40,61,88,140,0,14,5,0,0,26,48,48,80,0,0,0,0,18,35,72,73,127,130,0,0,5,9,20,34,41,28,0,0,0,43,48,0,15,5,0,12,25
"936f76885e2ff79dde9adf042e7d4617",36,518,0,0,0,19,49,159,200,315,295,316,217,0,0,24,122,30,73,134,238,353,0,19,0,23,34,53,108,110,157,0,7,10,45,55,70,173,339,358,334,0,0,0,0,19,0,0,0,0,660,85,118,165,53,45,0,38,24,38
"1083eb67a7140dca982f34e3968117a3",23,210,34,57,0,28,77,242,327,521,513,455,326,0,21,0,131,60,139,176,297,408,0,0,0,27,38,42,111,133,174,0,0,0,0,0,17,36,66,56,60,0,0,0,0,0,0,0,0,0,1258,115,134,234,98,71,35,70,48,113
"d23dbaf26dbe6cf1224e2d377b9b326b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,64,87,0,0,11,0,0,0,30,37,0,29,0,0,0,0,0,0,0,0,0,0
"d94c20c00db235bb6fccc68f06f100c7",0,79,0,0,25,21,94,283,339,716,580,589,375,0,22,41,167,74,202,239,405,778,0,14,0,19,51,58,165,155,240,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1036,54,86,148,46,29,0,59,24,54
"740d9b2ea5713119fec5849936b9128b",102,1043,119,206,199,289,574,1593,1597,1996,2072,1876,1694,123,477,647,2145,622,1137,1105,1202,965,152,974,440,985,902,660,991,770,997,653,529,733,449,337,371,629,572,511,536,813,586,288,141,134,135,141,185,125,646,1229,2412,3841,1565,624,253,345,242,464
